t,Open,High,Low,Close
2026-08-12 21:15:00+00:00,63563.0,63574.0,63550.0,63551.0
2026-08-12 21:20:00+00:00,63550.0,63555.0,63511.0,63513.0
2026-08-12 21:25:00+00:00,63513.0,63513.0,63450.0,63469.0
2026-08-12 21:30:00+00:00,63469.0,63486.0,63419.0,63474.0
2026-08-12 21:35:00+00:00,63473.0,63496.0,63408.0,63496.0
2026-08-12 21:40:00+00:00,63496.0,63531.0,63485.0,63517.0
2026-08-12 21:45:00+00:00,63518.0,63551.0,63502.0,63502.0
2026-08-12 21:50:00+00:00,63503.0,63560.0,63502.0,63545.0
2026-08-12 21:55:00+00:00,63545.0,63545.0,63440.0,63457.0
2026-08-12 22:00:00+00:00,63457.0,63489.0,63420.0,63462.0
2026-08-12 22:05:00+00:00,63463.0,63510.0,63462.0,63465.0
2026-08-12 22:10:00+00:00,63465.0,63528.0,63464.0,63482.0
2026-08-12 22:15:00+00:00,63483.0,63517.0,63482.0,63497.0
2026-08-12 22:20:00+00:00,63498.0,63507.0,63474.0,63504.0
2026-08-12 22:25:00+00:00,63504.0,63510.0,63469.0,63470.0
2026-08-12 22:30:00+00:00,63470.0,63483.0,63387.0,63404.0
2026-08-12 22:35:00+00:00,63405.0,63427.0,63364.0,63364.0
2026-08-12 22:40:00+00:00,63364.0,63393.0,63354.0,63384.0
2026-08-12 22:45:00+00:00,63384.0,63403.0,63381.0,63395.0
2026-08-12 22:50:00+00:00,63395.0,63423.0,63394.0,63421.0
2026-08-12 22:55:00+00:00,63422.0,63428.0,63405.0,63413.0
2026-08-12 23:00:00+00:00,63413.0,63422.0,63379.0,63387.0
2026-08-12 23:05:00+00:00,63388.0,63397.0,63365.0,63396.0
2026-08-12 23:10:00+00:00,63397.0,63415.0,63383.0,63399.0
2026-08-12 23:15:00+00:00,63399.0,63432.0,63391.0,63404.0
2026-08-12 23:20:00+00:00,63404.0,63416.0,63366.0,63366.0
2026-08-12 23:25:00+00:00,63367.0,63420.0,63353.0,63420.0
2026-08-12 23:30:00+00:00,63419.0,63446.0,63411.0,63442.0
2026-08-12 23:35:00+00:00,63441.0,63458.0,63435.0,63456.0
2026-08-12 23:40:00+00:00,63456.0,63457.0,63389.0,63403.0
2026-08-12 23:45:00+00:00,63405.0,63406.0,63392.0,63392.0
2026-08-12 23:50:00+00:00,63392.0,63418.0,63392.0,63410.0
2026-08-12 23:55:00+00:00,63409.0,63476.0,63406.0,63468.0
2026-08-13 00:00:00+00:00,63467.0,63490.0,63449.0,63450.0
2026-08-13 00:05:00+00:00,63449.0,63582.0,63449.0,63576.0
2026-08-13 00:10:00+00:00,63576.0,63582.0,63566.0,63581.0
2026-08-13 00:15:00+00:00,63581.0,63700.0,63581.0,63630.0
2026-08-13 00:20:00+00:00,63629.0,63630.0,63600.0,63601.0
2026-08-13 00:25:00+00:00,63600.0,63604.0,63562.0,63603.0
2026-08-13 00:30:00+00:00,63603.0,63604.0,63542.0,63567.0
2026-08-13 00:35:00+00:00,63564.0,63580.0,63556.0,63557.0
2026-08-13 00:40:00+00:00,63556.0,63557.0,63485.0,63497.0
2026-08-13 00:45:00+00:00,63496.0,63579.0,63486.0,63562.0
2026-08-13 00:50:00+00:00,63562.0,63587.0,63557.0,63568.0
2026-08-13 00:55:00+00:00,63567.0,63574.0,63549.0,63550.0
2026-08-13 01:00:00+00:00,63550.0,63551.0,63512.0,63546.0
2026-08-13 01:05:00+00:00,63546.0,63560.0,63544.0,63560.0
2026-08-13 01:10:00+00:00,63560.0,63617.0,63560.0,63616.0
2026-08-13 01:15:00+00:00,63616.0,63617.0,63520.0,63520.0
